Player,Team,Age,Position,Market Value,SofaScore
Rafael,Sao Paulo,35,Goalkeeper,800000.0,7.09
Jandrei,Sao Paulo,31,Goalkeeper,400000.0,7.01
Young,Sao Paulo,22,Goalkeeper,100000.0,
Nahuel Ferraresi,Sao Paulo,25,Center Back,3500000.0,7.09
Alan Franco,Sao Paulo,28,Center Back,3000000.0,6.97
Ruan Tressoldi,Sao Paulo,25,Center Back,2500000.0,
Robert Arboleda,Sao Paulo,32,Center Back,1200000.0,7.11
Sabino,Sao Paulo,27,Center Back,1000000.0,
Matheus Belem,Sao Paulo,21,Center Back,800000.0,
Jamal Lewis,Sao Paulo,26,Left Back,3500000.0,6.81
Welington,Sao Paulo,23,Left Back,3500000.0,7.01
Patryck,Sao Paulo,21,Left Back,1800000.0,6.84
Igor Vinicius,Sao Paulo,27,Right Back,2500000.0,6.94
Joao Moreira,Sao Paulo,20,Right Back,2500000.0,
Luis Orejuela,Sao Paulo,29,Right Back,800000.0,6.75
Rafinha,Sao Paulo,39,Right Back,200000.0,6.92
Pablo Maia,Sao Paulo,22,Defensive Midfield,14000000.0,7.00
Santiago Longo,Sao Paulo,26,Defensive Midfield,4000000.0,
Jhegson Mendez,Sao Paulo,27,Defensive Midfield,1500000.0,
Felipe Negrucci,Sao Paulo,20,Defensive Midfield,500000.0,
Luiz Gustavo,Sao Paulo,37,Defensive Midfield,350000.0,7.02
Rodrigo Nestor,Sao Paulo,24,Central Midfield,9000000.0,6.75
Giuliano Galoppo,Sao Paulo,25,Central Midfield,6500000.0,6.85
Marcos Antonio,Sao Paulo,24,Central Midfield,4000000.0,6.75
Rodriguinho,Sao Paulo,20,Central Midfield,3000000.0,
Damian Bobadilla,Sao Paulo,23,Central Midfield,2500000.0,6.84
Alisson,Sao Paulo,31,Central Midfield,2000000.0,7.16
Liziero,Sao Paulo,26,Central Midfield,1500000.0,7.13
William Gomes,Sao Paulo,18,Left Winger,5000000.0,6.66
Ferreirinha,Sao Paulo,26,Left Winger,5000000.0,
Michel Araujo,Sao Paulo,28,Left Winger,1500000.0,6.77
Lucas Moura,Sao Paulo,32,Right Winger,5000000.0,7.15
Wellington Rato,Sao Paulo,32,Right Winger,1200000.0,6.95
Erick,Sao Paulo,26,Right Winger,1200000.0,7.01
Henrique Carmo,Sao Paulo,17,Right Winger,200000.0,
Luciano Seg. Atacante,Sao Paulo,31,Unknown,2500000.0,
Jonathan Calleri,Sao Paulo,31,Centre Forward,3500000.0,7.06
Andre Silva,Sao Paulo,27,Centre Forward,3500000.0,6.86
Hugo Souza,Corinthians,25,Goalkeeper,4000000.0,7.27
Matheus Donelli,Corinthians,22,Goalkeeper,2000000.0,
Felix Torres,Corinthians,27,Center Back,4500000.0,6.99
Andre Ramalho,Corinthians,32,Center Back,2500000.0,7.09
Caetano,Corinthians,25,Center Back,2000000.0,6.79
Caca,Corinthians,25,Center Back,2000000.0,6.99
Gustavo Henrique,Corinthians,31,Center Back,1000000.0,6.94
Diego Palacios,Corinthians,25,Left Back,3000000.0,
Matheus Bidu,Corinthians,25,Left Back,2000000.0,7.10
Hugo,Corinthians,27,Left Back,1500000.0,6.93
Matheuzinho,Corinthians,24,Right Back,4000000.0,6.97
Leo Mana,Corinthians,20,Right Back,800000.0,
Fagner,Corinthians,35,Right Back,400000.0,6.95
